:START_ID(Document),:END_ID(Location),:TYPE
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Merinda,MENTIONS
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Replacement,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2012-08-22,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2014-04-02,Hosted Solution,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,ContentDM,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,Libraries,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,WCWG,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-11-01,Helenmary,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-02-01,IA,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-02-01,Illinois,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-02-01,Migration,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-07-01,Illinois Databank,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2012-12-19,Micahel,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-11-01,Illinois Databank,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-01-29,Habing,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-01-29,Merinda,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-01-29,Replacement,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-02-01,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-02-01,Helenmary,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-08-01,Illinois Databank,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-04-30,Archon,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-04-30,Illinois Harvest,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-04-30,M Norman,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-04-30,Primo,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-09-01,Illinois Databank,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-01-01_1,Illinois,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-01-01_1,n’t,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-10-01,Illinois Databank,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28,Chicago,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28,EK,MENTIONS
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28,MO,MENTIONS
