:START_ID(Document),:END_ID(Committee),:TYPE
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-06-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2017-01-26,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2019-08-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-09-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-10-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2016-05-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-03-04,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-04-30,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2014-12-04,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-01-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Minutes__Content Access Policy & Technology (CAPT)_Minutes_2013-09-24,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-03-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-06-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-05-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2012-08-22,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-07-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-02-22,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2014-04-02,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-12-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-02-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-05-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-04-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-04-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-09-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-10-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-06-25,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-05-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-11-01_1,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-06-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-05-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-11-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-01-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-04-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-03-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-02-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-07-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-08-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-01-31,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28_1,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2012-12-19,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-08-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-02-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-04-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-11-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-01-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-03-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-10-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-05-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-08-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-01-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-11-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-02-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-01-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-02-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-07-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-08-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-04-30,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-09-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2013-10-29,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-01-01_1,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2017-10-01,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2019-03-28,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2018-09-27,Content Access Policy & Technology (CAPT),BELONGS_TO
Content Access Policy & Technology (CAPT)__Agendas__Content Access Policy & Technology (CAPT)_Agendas_2016-06-01,Content Access Policy & Technology (CAPT),BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2021-04-15","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
"Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force__Minutes__Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force_Minutes_2022-03-24","Diversity, Equity, Inclusion, and Accessibility (DEIA) Task Force",BELONGS_TO
